k_parent,k_child,parent_gep,child_gep,gated_similarity,parent_celltype,child_celltype,celltype_match
5,6,1.0,1,0.9975,CD4+Tcells,CD4+Tcells,True
5,6,2.0,2,0.9972,Tumor/Epithelials,Tumor/Epithelials,True
5,6,3.0,3,0.9969,Tumor/Epithelials,Tumor/Epithelials,True
5,6,4.0,4,0.9975,Fibroblasts/Stromal,Fibroblasts/Stromal,True
5,6,5.0,5,1.0,Mac_C1Q_ZEB2,Mac_C1Q_ZEB2,True
5,6,5.0,6,0.3725,Mac_C1Q_ZEB2,CD8+Tcells_Ki67,False
6,7,1.0,1,0.9946,CD4+Tcells,CD4+Tcells,True
6,7,2.0,2,0.9881,Tumor/Epithelials,Tumor/Epithelials,True
6,7,2.0,3,0.7091,Tumor/Epithelials,Tumor/Epithelials,True
6,7,6.0,4,0.707,CD8+Tcells_Ki67,Fibroblasts/Stromal,False
6,7,5.0,5,0.9766,Mac_C1Q_ZEB2,Mac_C1Q_ZEB2,True
6,7,6.0,6,0.6239,CD8+Tcells_Ki67,Endothelials,False
6,7,6.0,7,0.897,CD8+Tcells_Ki67,Tumor/Epithelials,False
7,8,2.0,1,0.7763,Tumor/Epithelials,Tumor/Epithelials,True
7,8,1.0,2,0.87,CD4+Tcells,CD4+Tcells,True
7,8,3.0,3,0.7636,Tumor/Epithelials,Tumor/Epithelials,True
7,8,,4,0.282,,Plasma_XBP1,False
7,8,4.0,5,0.9727,Fibroblasts/Stromal,Fibroblasts/Stromal,True
7,8,5.0,6,0.9669,Mac_C1Q_ZEB2,Mac_C1Q_ZEB2,True
7,8,6.0,7,0.9258,Endothelials,Endothelials,True
7,8,7.0,8,0.9852,Tumor/Epithelials,Tumor/Epithelials,True
8,9,2.0,1,1.0,CD4+Tcells,CD4+Tcells,True
8,9,1.0,2,0.7981,Tumor/Epithelials,Tumor/Epithelials,True
8,9,3.0,3,0.9972,Tumor/Epithelials,Tumor/Epithelials,True
8,9,4.0,4,0.9975,Plasma_XBP1,Plasma_XBP1,True
8,9,5.0,5,0.9975,Fibroblasts/Stromal,Fibroblasts/Stromal,True
8,9,6.0,6,0.9975,Mac_C1Q_ZEB2,Mac_C1Q_ZEB2,True
8,9,8.0,7,0.8518,Tumor/Epithelials,Tumor/Epithelials,True
8,9,7.0,8,0.9975,Endothelials,Endothelials,True
8,9,8.0,9,0.9825,Tumor/Epithelials,Tumor/Epithelials,True
9,10,2.0,1,0.9992,Tumor/Epithelials,Tumor/Epithelials,True
9,10,3.0,2,0.7701,Tumor/Epithelials,Tumor/Epithelials,True
9,10,1.0,3,0.7511,CD4+Tcells,CD4+Tcells,True
9,10,4.0,4,0.4454,Plasma_XBP1,Bcells_CD19,False
9,10,4.0,5,0.4388,Plasma_XBP1,Plasma_XBP1,True
9,10,5.0,6,0.9802,Fibroblasts/Stromal,Fibroblasts/Stromal,True
9,10,9.0,7,0.8822,Tumor/Epithelials,Tumor/Epithelials,True
9,10,6.0,8,0.9093,Mac_C1Q_ZEB2,Mac_C1Q_ZEB2,True
9,10,8.0,9,0.9926,Endothelials,Endothelials,True
9,10,9.0,10,0.9606,Tumor/Epithelials,Tumor/Epithelials,True
10,11,1.0,1,0.9948,Tumor/Epithelials,Tumor/Epithelials,True
10,11,3.0,2,1.0,CD4+Tcells,CD4+Tcells,True
10,11,2.0,3,0.4635,Tumor/Epithelials,Tumor/Epithelials,True
10,11,4.0,4,1.0,Bcells_CD19,Bcells_CD19,True
10,11,5.0,5,0.9951,Plasma_XBP1,Plasma_XBP1,True
10,11,6.0,6,0.9975,Fibroblasts/Stromal,Fibroblasts/Stromal,True
10,11,7.0,7,0.995,Tumor/Epithelials,Tumor/Epithelials,True
10,11,8.0,8,0.9975,Mac_C1Q_ZEB2,Mac_C1Q_SPP1,False
10,11,9.0,9,0.9975,Endothelials,Endothelials,True
10,11,7.0,10,0.7432,Tumor/Epithelials,Tumor/Epithelials,True
10,11,10.0,11,0.9606,Tumor/Epithelials,Tumor/Epithelials,True
11,12,2.0,1,0.8371,CD4+Tcells,CD4+Tcells,True
11,12,3.0,2,0.4155,Tumor/Epithelials,Tumor/Epithelials,True
11,12,4.0,3,0.9667,Bcells_CD19,Bcells_CD19,True
11,12,,4,0.2797,,Fibroblasts/Stromal,False
11,12,5.0,5,0.9407,Plasma_XBP1,Plasma_XBP1,True
11,12,9.0,6,0.9174,Endothelials,Endothelials,True
11,12,6.0,7,0.8765,Fibroblasts/Stromal,Fibroblasts/Stromal,True
11,12,,8,0.2374,,Tumor/Epithelials,False
11,12,11.0,9,0.952,Tumor/Epithelials,Tumor/Epithelials,True
11,12,11.0,10,0.8796,Tumor/Epithelials,Tumor/Epithelials,True
11,12,8.0,11,0.5996,Mac_C1Q_SPP1,Mac_C1Q_ZEB2,False
11,12,8.0,12,0.8891,Mac_C1Q_SPP1,Mac_C1Q_ZEB2,False
